,Transljteratjon,Translation
623,jab n .k sj jr rA .k,Join it to your mouth!
624,nxx n .k jr .t Hr wDA .t xr .k,The whole eye of Horus is given to you for you .
625,hA nxx n .k sj xr .k xr .k,"Oh, for you it is given to you, to you!"
626,Hw hA nxx sj xr .k,"Ah, oh, it, the eye of Horus is given to you!"
627,Hw nxx jr .t Hr xr .k,"Oh, the eye of Horus is given to you!"
628,nxx sj n .k xr .k xr .k,"It is given to you for you, for you ."
629,hA nxx n .k sj xr .k,"Oh, it is given to you for you!"
630,nxx n .k ,Let it be given .
631,Hw hA nxx sj xr .k,"Ah, oh, it is given to you!"
632,Hw nxx sj n .k,"Oh, it is given to you!"
633,nxx sj xr .k,It is given to you .
634,nxx jr .t Hr,Let the eye of Horus be given .
635,nxx n .k jr .t Hr,Let the eye of Horus be given .
636,nxx .n jr .t Hr xr .Tn,To you pl . has the eye of Horus been given!
637,snxt n .k jr .t Hr xr .k,Make the eye of Horus return to you!
638,sHm n .k sj xr .k,Make it return to you!
639,sxt n .k sj,Make it return to you!
640,jr .t Hr tn bnj .t sxt n .k sj,"As for this sweet eye of Horus, make it return to you!"
641,sxt n .k sj,Make it return to you!
642, j .dp .k dp .t .f xntj sH .w nTr ,May you taste the taste of it before the god’s booths .
643,m n .k jr .t Hr dp .jt .k,"Take the eye of Horus, which you are to taste!"
644,d .n .j jr .t .k Hr dp .t .k,I have placed your eye your eye of Horus which you
645,m n .k jr .t Hr jtH .t .n .f,"Take the eye of Horus, which he tore out!"
646,m n .k jr .t Hr pA .t .k,"Take the eye of Horus, your Pat cake!"
647,m n .k jr .t Hr pA .t .k,"Take the eye of Horus, your Pat cake!"
648,m n .k jr .t Hr pA .t njt nTr .w wSb .t .sn jm,"Take the eye of Horus, the Pat cake of the gods, wherefrom they are nourished!"
649,j .wn Tn n M.n jr .tj .fj,Open for Merenre his eyes!
650, wp .n .f n .k jr .tj .kj m nw .t aH nTr m wr .t HkA .w ,"He had opened for you your two eyes with the adze of the palace of the god, with the great of magic ."
651,wp n .k jr .tj .kj,So have your eyes been opened .
652,j .wn .j jr .tj .kj,Let me open your eyes .
653,wp .n n .k Hr jr .t .k,Horus has opened your eye for you .
654,wp .n .j jr .t .k,I have opened your eye .
655,wp .n n .k Hr jr .t .k,Horus has opened your eye for you .
656,wp .n n .k Hr jr .t .k,Horus has opened your eye for you .
657,wn jr .tj .kj jn tA,May your eyes be opened by the earth .
658,wn jr .tj .kj,With your eyes having been opened .
659,sHD .sn Hr .k,That they make your face bright .
660,sHD Hr .k m HD tA,Let your face be brightened at dawn .
661,sHD .sn Hr .k,With them brightening your face .
662,j .sHD .sn Hr .k,That they brighten your face .
663, sHD .sn Hr .k m aH .w HD ,That they may brighten your face in the white shrine .
664,Ts .n n .k nTr .w Hr .k,The gods have knit your face together for you .
665,Ts .n n .k nTr .w Hr .k,The gods have knit your face together for you .
666,Ts Hr .k,With your face knit together .
667, Hr .k Ts m sAb wp wA .wt js ,"Your face is knit together as the jackal, as Wepwawet ."
668,sDr sbn,Lie down! Slither away!
669,xbx ntA,Slither into the earth!
670,j .xr sbn,Fall! Slither away!
671,j .xr sbn,Fall! Slither away!
672,sDr,Lie down!
673,sbn,Slither away!
674,j .xr sbn,Fall! Slither away!
675, kw bn .w sbn .w Hs n .wt ,"Then, O Benu, who slithers away, praised of the red crowns ."
676,j .xr sbn,Fall! Slither away!
677,sDr,Lie down!
678,j .xr .k m Hs .k,May you fall into your excrement .
679,sDr sbn,Lie down! Slither away!
680,j .xr sbn,Fall! Slither away!
681,j .xr sbn,Fall! Slither away!
682,sDr,Lie down!
683,j .xr sbn,Fall down! Slither away!
684,sDr,Lie down!
685,sbn,Slither away!
686,sDr sbn,Lie down! Slither away!
687,sDr .tj,Lie down!
688,hjw sDr jmj nAw .t .f j .xr sbn,"O serpent, lie down! O one who is in his thicket, fall down! Slither away!"
689,xr,Fall down!
690,my sDr m pr mw .t .k wn .tj,"Come! Lie down in the house of your mother, as you are!"
691, sbn m Xr aHA m bw pw sbn .n .sn jm ,"Slither away from Cher’aha, from the place from which they slithered!"
692,hjw sDr hpn sbn,"O Hiu serpent, lie down! O Hepenu serpent, slither away!"
693,hjw sDr,"O serpent, lie down!"
694,S a .t .f r gs .wj .fj,Dread of him is on either side of him .
695,S a .t .f r gs .wj .fj,Dread of him is on either side of him .
696,S a .t .f jr rd .wj .fj,And his dread before him .
697,S a .t .f jr gs .wj .fj,Dread of him is on either side of him .
698,Dj .T S a .t W. mr S a .t .T,May you cause that dread of Unas be like the dread of you .
699,sdA tA n S a .t .k,The earth trembles because of dread of you .
700, xpr S a .t .k r jb nTr .w ,And dread of you come to be in the hearts of the gods .
701, sn .sn tA r rd .wj .kj n S a .t .k P. pw m njw .wt sjA ,"Them kissing the ground before you because of dread of you, O Pepi, in the towns of Sia ."
702, Sa .t .k pw jr .t Hr wDA .t HD .t wt .jt jmjt nxb ,"Dread of you is the whole eye of Horus, the white one, Wetit who is in el Qab ."
703, Sa .t .k r jb .w mr Sa .t ra ,With dread of you in hearts like the dread of Re .
704,Dj .T Sa .t .f m jr .tj Ax .w nb .w mAA .tj .sn n .f sDm .tj .f nb rn .f jsT,"That you put dread of him in the eyes of all the Akhs who will look upon him, and any who might hear his name ."
705,jn nw n P. pn,Bring this to Pepi!
706,jn nw n W.,Bring this to Unas!
707,jn nw n W.,Bring this to Unas!
708,jn n W. sfr .t Htp .t Hrjt psD .w wsjr,Bring to Unas the Hetep linen which is on the back of Osiris!
709, jn .t .f mXn .t tf njt mr nxAj n T. ,That he might bring that ferryboat of the shifting waterway to Teti .
710,jn nw n Ne.,Bring this to Neferkare!
711,jn nw n P. pn,Bring this to Pepi!
712,jn nw n Hr,Bring this to Horus!
713,jn nw n P. pn,Bring this to Pepi!
714,jmj jn .tj .j n M.n wjA .k pw DAA .w wab .w .k jm .f,Cause that I bring to Merenre this bark of yours in which your pure ones are ferried!
715,jn mXn .t tw n P. pn,Bring this ferryboat to Pepi!
716, jn nw n P. pn jr .t Xnm ,"Bring this to Pepi, the ‘that which Chnum built’ boat!"
717,jn nw n P. pn,Bring this to Pepi!
718,DA n .f mSn .t .s jn Dam .w j .xm .w sk,Let his ferryboat be ferried to him by the staves of the imperishable stars .
719, jn mAq .t n Nt . jr .t Xnm ,"Bring the ladder to Neith, the ‘that which Chnum built’ boat!"
720,jn mXn .t tw n P. pn,Bring th is ferryboat to Pepi!
721,jn nw n M.n,Bring this to Merenre!
722,jn nw n Ne. jn my nw n Ne.,Bring this to Neferkare please bring this to Neferkare!
723,jn nw n P. Ds .f,Bring this to Pepi himself !
724,jn .t .f n .k wa .t sxm .tj,"That he bring you the sole one, the double crown ."
725,j .n W. xr .k DA .k sw m mXn .t tw DAA .t .k nTr .w jm .s,"Unas has come to you, even that you ferry him in this ferryboat in which you ferry the gods ."
726, jn .t .f mXn .t tf njt mr nxAj n T. ,That he might bring that ferryboat of the shifting waterway to Teti .
727, jr n tpjw Abd .w .k jm ,This being done at your monthly ceremonies thereby .
728, jr .w n .k tpj 3 ,The third day ceremony will be performed for you .
729, jr .w n .k psDn .tjw ,The new moon ceremony will be performed for you .
730,Htp jb .k Ne. pw jm .f m Abd m smd .t,"May your heart be satisfied, O Neferkare, with him, at the monthly and half monthly ceremonies ."
731,j .xa .k n psDn .tjw jr .tj n .k tpj 3,You will appear at the new moon ceremony: the third day ceremony will be performed for you .
732,jr .w n .k psDn .tjw xa .k n smd .t,The new moon ceremony will be performed for you: you will appear at the half month ceremony .
733,jr .w n .k tpj 3,The third day ceremony will be performed for you .
734,jrj .w n .k tpj 3,The third day ceremony will be performed for you .
735,wHa Ts .wt .k jn nb .wj nww,Your knots have been untied even by the two lords of Nu .
736,wHa n .k qAs .w .k,Release your fetters!
737,wHa n .k qAs .w .k,Loosen your fetters!
738,wHa .n .f qAs .f sfxx .n .f wt .w,"Having loosened his fetters, having released his mummy bindings ."
739,sfxx .w wt .w .Tn,Release your mummy bindings!
740,wHa n .k sAr .w .k Hr js jmj pr .f,"Loosen your bonds, as Horus the one who is in his house!"
741,wDa n .k sAr .w .k Hr js jmj pr .f,Cut your bonds as Horus who is in his house!
742,wHa n .k qAs .w .k,Loosen your fetters!
743,wHa Ne. pn,Neferkare is released .
744,j n .k Hr wDa .f sA r nwH .w .k xAa .f mD .wt .k,"Horus comes to you even that he cut the byre from your bonds, that he cast off your bonds ."
745,wDa n .k sAr .w .k Hr js jmj pr .f,Cut your bonds as Horus who is in his house!
746,an .t tw nn njt tm Hrjt Ts bqsw nHb .w kA .w ssA .t Xnn .w m wnw,"This is the talon of Atum, that which is upon the spine of Nehebukau, which ends the discord in Hermopolis ."
747,rDj .f pH .wj mdw .w m jwnw,He has put an end to the matter in Heliopolis .
748,Hsb .n .sn mdw .sn,And they have broken their staves .
749, Hbs .w m jdmj .t anx .w m dAb swr .w m jrp wrH .w m HA .tjt ,"Those dressed in linen, those who live on figs, who drink wine, who are anointed with finest oil ."
750, r wnm .w dAb .w swr .w jr p ,To those who eat figs and those who drink
751,jry .f j Hsmn .w .f m dAb m jrp .w jmj kAn nTr,"Let him make his natron i .e . purification out of figs, out of the wine which is in the vineyard of the god ."
752,wrH .w m HA .tjt wnx .w m jdmj anx .yw m dAb swr .jw jrp,"Who are anointed with finest oil, who are clothed in linen, who live on figs, who drink wine ."
753,wnm .k dAb swr .k jrp,That you eat figs and drink wine .
754,mH .n kw Hr m jr .t .f tm .tj,With his eye has Horus filled you completely .
755, mH .n kw Hr tm .tj m jr .t .f m tp wAH .t ,Upon the oblation has Horus filled you completely with his eye .
756,mH .n sw wsjr m jr .t ms n .f,Osiris has filled himself even with the eye of the one born to him .
757, mH .n kw Hr tm .tj m jr .t .f m rn .s pw nj wAH .t nTr ,"Horus has filled you completely with his eye, in its name of ‘god’s offering .’"
758,gmy W. m wA .t .f wnm .f n .f sw mwmw,"As for the one whom Unas might find in his way, he will eat him, he being devoured ."
759,gmy W. m wA .t .f wnm .f n .f sw mwmw,"As for one whom Unas might find in his way, he will eat him, he being devoured ."
760,gmy .f m wA .t .f wnm .f n .f sw mwmw,"As for the one whom he might find in his way, he will eat him for himself, he being devoured ."
761,j .pA W. pn m Apd,Unas flies as a bird .
762,spA .n spd .t W. r P.t m ab sn .w .f nTr .w,For Sothis has made Unas fly to the sky among his brothers the gods .
763,pA Ne. m a .Tn,Let Neferkare fly away from you .
764,pr r .k jr P.t m bjk .w,Ascend to the sky as do the falcons!
765,j .gp P. mr aHaw,Let Pepi fly like an Ahau heron .
766,j .spA gbb P. pn jr P.t,With Geb making Pepi fly up to the sky .
767,j .pAj .f pAj .f,"Let him fly, let him fly ."
768,j .pA .f,Let him fly .
769,j .gp .f r .f jr P.t m aHaw,That he fly to the sky as an Ahau heron .
770,spA .w r .f Ne. m jSs .t,With what then will Neferkare be made to fly up?
771,j .gp Ne. m bjk nTr .j,Let Neferkare fly as a divine falcon .
772,pA .n Nt .,Neith has flown .
773,P. pw pA,Pepi is the one who flies .
774,j .pA .f xny .f m gs jAb .tj nj P.t n nTr .w,That he may fly up and alight in the eastern side of the sky for the gods .
775,j .pA .k jr P.t,May you fly up to the sky .
776,j .gp .k mr bjk sSy .k mr nwr,"That you fly like a falcon, that you soar up like"
777,wAD W.,Unas flourishes .
778,sAD .sn M.,That they make Merire flourish .
779,wAD .T wAD T. wAD Hn anx .w,"If you flourish, then Teti flourishes, then the rush of the living flourishes ."
780, wAD .T wAD M. wAD Hn anx .w ,"If you flourish, then Merire flourishes, then the rush of the living flourishes ."
781,wAD .T wAD Ne.,"If you flourish, then Neferkare flourishes ."
782,swAD .k T.,May you make Teti flourish .
783,swAD T.,Make Teti flourish!
784,wAD T. Hna .k,Teti flourishes with you .
785,sAD T. sAD Tw T.,"Make Teti flourish, and Teti will make you flourish!"
786,wAD .tj wr .tj m rn .k nj wAD wr,"Flourish and be great, in your name of ‘great green!’"
787,jn .n .sn n .f fdw jpw Ax .w smsw xntjw Hnsk .tjw aHa .w m gs jAb .tj nj P.t Dsr .w Hr Dam .w .sn,"To him have they brought these four elder Akhs, foremost of those of the side lock, who stand in the eastern side of the sky, who are supported upon their staves ."
788,jn .n n .f sn fdw jpw nTr .w aHa .w Hr Dam .w P.t,These four gods who stand upon their staves of the sky have brought themselves to him .
789, jn .sn n P. pn fd jpw swA .tjw Hnsk .tjw aHa .jw Hr Dam .w .sn m gs jAb .tj nj P.t ,"Bringing to Pepi these four of the passing by, the side lock wearers, who stand upon their staves in the eastern side of the sky ."
790,jn my n P. pn fdw jpw sn .w swA .tjw Hnsk .tjw Hms .w Hr Dam .w .sn m gs jAb .tj nj P.t,"Do bring to Pepi these four brothers, the ones of passing by, the ones of the side lock, who sit upon their staves in the eastern side of the sky!"
791,jn my n .j fd jpw jA .tjw Hms .w Hr Dam .sn prr .jw m gs jAb .tj nj P.t,"Bring to me these four of the mounds, who sit upon their staves, who ascend in the eastern side of the sky!"
792,jn .n n .k gbb Hr,Geb has brought Horus to you .
793, wD .n sw gbb m twA m njw .t jrjt ,And Geb has commanded him to be an inferior in the town thereof .
794, m wDD .t jr .t n .k jn jt .k gbb ,As that which was commanded to be done by your father Geb!
795,jry n .k Ne. nw wD .n gbb jry .f n .k,That Neferkare may do for you this which
796, wD .n gbb nnj .w .T m rn .T pw nj njw .t ,"For Geb has commanded that you return, in this your name of ‘city .’"
797,rDj .n gbb Dj n .k snj Hr,Geb has caused that Horus give them to you .
798,jn .n n .k gbb Hr,Geb has brought you Horus .
799,jn .n n .k gbb Hr,Geb has brought you Horus .
800,rDj .n gbb mA Hr jt .f jm .k m rn .k nj Hw .t jtjw,"Geb has caused that Horus see his father in you, in your name of ‘house of the sovereign .’"
801, m wDD .t jr .t n .k jn jt .k gbb ,As that which was commanded to be done by your father Geb .
802,xw .n .f Tw,He having protected you .
803,xw .k sw jr xftj .f,That you protect him from his enemy .
804,xw .n Tw jt .k gbb,Your father Geb having protected you .
805,stp .k sA .k nj anx HA wsjr Ne. pn,And put your protection of life around Osiris Neferkare .
806,xw .n Tw jt .k gbb,Your father Geb having protected you .
807,xw .n Tw jt .k gbb,Your father Geb having protected you .
808,j .rDj .n n .k Hr jr .t .f m a .k,Into your hand has Horus put his eye for you .
809,rDj .n .j n .k jr .t Hr,To you have I given the eye of Horus .
810,Dj .n n .k Hr jr .t .f,To you has Horus given his eye .
811,Dj .n .j n .k jr .t Hr,To you have I given the eye of Horus .
812,rDj .n .j pD .t jb stS,For I have given that which pleases Seth .
813,d .n .j snj n .k1203,To you have I given them .
814,jmj n .f jr .t Hr,Give him the eye of Horus!
815, hA Dj .j n .j n .k jr .t Hr ,"Oh, let me give you the eye of Horus!"
816,d .n snj Hr tp rd .wj Ne. pn,Horus has put them even before Neferkare .
817,dj .n .j jr .t .k,I have placed your eye .
818,sjp n .k jr .t Hr,To you has the eye of Horus been alloted .
819,d .j n .k sj,Let me give it to you .
820,jmj n .k n .f sj,Give it to him!
821,d .n n .k Hr jr .t .f m HA .t .k m rn .s nj wr .t HkA .w ,"For you has Horus put his eye on your brow, in its name of great of magic ."
822,rDj .n n .k Hr jr .t .f,Horus has given you his eye .
823,Dj .n .j n .k jr .t Hr,I have given you the eye of Horus .
824,d .j n .k Hwn .tj Hm jmjt jr .tj Hr,Let me give you the two pupils which are the eyes of Horus .
825, Dj .f n .k jmjt HA .t Hr ,And let him give you that which is in the brow of Horus .
826,Dj .n .j n .k jr .t Hr,I have given you the eye of Horus .
827,rDj .n .f n .k sj,Him having given it to you .
828,rDj .n .f n .k sj jr .t .f jtn bnj .t,"He has given you it, this his sweet eye ."
829, rDj .n n .k Hr jr .t .f rwD .t ,Horus has given you his enduring eye .
830,rDj .n n .k Hr jr .t .f,Horus has given you his eye .
831,rDj .n n .k Hr jr .t .f,Horus has given you his eye .
832,d n .f jr .t Hr,Give him the eye of Horus .
833, jw .j Dj .j n .k jr .t Hr ,I come even that I may give you the eye of Horus .
834,d .j n .k jr .t Hr xr .k,As I give you the eye of Horus for you .
835,rDj .n .j n .k sj jr .t .f tn,"I have given you it, namely this eye of his ."
836,Hnk .j n .k jr .t Hr,To you do I present the eye of Horus .
837, Hnk .j Tw m t .k mr Hnk sw Hr m jr .t .f ,"Let me present you with your bread, as Horus presents him with his eye ."
838, Hnk .j Tw m t .k pw mr Hnk sw Hr Hr? m jr .t .f ,"Let me present you with this bread of yours, just as Horus presents him with his eye ."
839,d .kj n .k sj tp a .wy .kj,I have placed it before you for you .
840,rDj .n .f sj n P. pn,He has given it to Pepi .
841,Dj .j n .f jr .tj .fj,Let me give him his eyes .
842, Dj .n n .k gbb jr .tj .kj Htp .k ,Geb has given you your eyes precisely that you be satisfied .
843,Dj .n n .k gbb jr .tj .kj,Geb has given you your eyes .
844,rDj .n n .k gbb jr .tj .kj,Geb has given you your eyes .
845,jn sA .k mry .k snT.n .f n .k jr .tj .kj,It is your son who is beloved of you who has repaired your eyes for you .
846, rDy n .k jr .tj .kj m jar .tj .kj ,Your eyes having been given to you as your two uraei .
