,Transliteration,Translation
1213,iw.n(=i) m zxn=k,I have come even in seeking you.
1214,i Hr mH m [mD.t] zxn.n=f it=f wsir,"Horus comes, the one who fills with [oil,] even having sought his father Osiris."
1215,iw.n Hr zxn=f Tw,"Horus has come, only in seeking you."
1216,pr.t Hr m zxn=k,Is the going out of Horus in seeking you.
1217,iw.n(=i) z[xn(=i) Tw],I have come only in se[eking you].
1218, iw-sw Sm.wt=k iptn Sm.wt Hr m zxn.w it=f wsir ,"Indeed these your goings, are the goings of Horus in seeking his father Osiris."
1219,iw.n(=i) xr=k StA s.wt zxn(=i) Tw ir p.t,"I have come to you, O one hidden of places, even seeking you at the sky."
1220,zxn=f it=f wsir,When he seeks his father Osiris.
1221,/// zxn zA=k wsir,/// your son’s seeking of Osiris.
1222,Hw.n sw zA=k Hr,Your son Horus having smitten him.
1223, H(w).n=f n=k xft(i)=k qAs ,"For you he has smitten your opponent, him being fettered."
1224,stp.n Hr xpS.w xftiw=k,Horus has butchered the forelegs of your enemies.
1225,ir.n Hr ir=f,When Horus acted against him.
1226,Hw.n=f n=k Hw Tw,He smote for you the one who smote you.
1227,Hw.n(=i) n=k Hw Tw m iH,As a bull have I smitten for you the one who smote you.
1228,Hw.n(=i) n=k Hw Tw,For I have smitten for you the one who smote you.
1229,Hw.n=f n=k Hw Tw m [ iH],He has smitten for you the one who smote you as [a bull].
1230,H(w).n=f k.t,He has smitten the other.
1231,gbgb.n1209 Tw Hr,Horus has felled you.
1232,tp=k m a Hr,Your head be in the hand of Horus.
1233,Sw ir=k r ir(.t) ra i(r) rn=k pw ir.n nTr.w n(i) Hr dA[.ti n(i) Hr sk sn] ,"Rise to the eye of Re, to this your name which the gods made, of ‘netherworld Horus,’ [of ‘Horus who destroys them’]!"
1234,n(i) Hr dA.ti n(i) Hw sn n(i) abS sn n(i) ski sn,"Of ‘netherworld Horus,’ of ‘one who strikes them,’ of ‘one who drowns them,’ of ‘one who destroys them.’"
1235, Sw {r=k} ir=k ir p.t m-ab nTr.w n rn=k <p>w /// /// sk sn {z}<a>bS sn ,"Rise to the sky among the gods, because of <th>is your name [of ] /// [‘Horus] who destroys them,’ ‘who drowns them!’"
1236,iw=f i.Hqr=f,As he is hungry.
1237,Hqr Ne.,Then Neferkare will be hungry.
1238, zmA.y mXn.wt M.n n zA i.tm Hqr iby iby Hqr m pn gs rsi n(i) mr-nxA(i) ,"Put together are the ferryboats of Merenre, for the son of Atum, hungry and thirsty, thirsty and hungry, on this southern side of the shifting waterway."
1239,Hqr T. m-a Sw,The hunger of Teti is from Shu.
1240,Hqr T. Hqr rw.ti,"If Teti hungers, then Ruty hungers."
1241,ink Ne. smA-wr,"For I am Neferkare, the great wild bull."
1242,ink Ne. Ax m rA=f apr,I am {Neferkare}1211 one who is an equipped Akh through his utterance.
1243,ink Ne.,I am Neferkare.
1244,ink Nt.,I am Neith.
1245,ih ih,Ah! Ah!
1246,ihi ihi,Ah! Ah!
1247,ihi ihi ir(=i) n=k sw ihi pn,"Ah! Ah! Let me make it for you, this cry."
1248,ihi,Ah!
1249,ihi ihi,Ah! Ah!
1250,qb n=k xr Hr m rn=k n(i) pr m qbH,"Be cool because of Horus, in your name of ‘one who came forth from the libation!’"
1251, ms=k Hr m rn=f n(i) wr.w rw n=f tA sdA.w n=f p.t ,"May you bear Horus, in his name of ‘great one, the one for whom the land shook, the one for whom the sky trembled.’"
1252,sn=sn ir=k m rn=k n(i) sn.wt(i),"Even with them being brothers to you, in your name of ‘he of the chapels.’"
1253,Ax (si) n Hr xr=k m rn=k n(i) Ax.t prr.t ra im,"(It) is Akh for Horus with you, in your name of ‘horizon in which Re ascends.’"
1254,sanx.n Tw Hr m rn=k pw n(i) anD.ti,"Horus has made you live, in this your name of ‘Andjeti.’"
1255,i.n=sn ir=f m rn=k n(i) itf A-wr,"Say they to him, in your name of ‘(house of ) the great saw.’"
1256,Ax n=f (si) an xr=k m rn=k n(i) Ax.t prr.t ra im=k,"(It) being Akh for him again because of you, in your name of ‘horizon, you in whom Re ascends.’"
1257,rDi.n gbb mA Hr it=f im=k [m rn]=k n(i) Hw.t-itiw,"Geb has caused that Horus see his father in you, [ in] your [name] of ‘house of the sovereign.’"
1258,snsn=sn ir=k m rn=k n(i) sn.wt(i),"Even that they (the gods) be brotherly to you, in your name of ‘he of the chapels.’"
1259,rDi.n Hr wTz=f Tw m rn=k n(i) wTz wr,"Horus has caused that he lift you, in your name of ‘great lifted one.’"
1260,m rn=k n(i) nzr-mS,In your name of ‘bull.’
1261,f A=s Tw r p.t m rn=s pw n(i) Dr.t,"And lift you up to the sky, in this her name of ‘kite.’"
1262, qbH n=k xr Hr m rn=k n(i) pr m qbH ,"The libation to you, from Horus, in your name of ‘one who came forth from the libation.’"
1263,xw=sn(i) rpw=k ir rn=k pw n(i) inpw,"Let them prevent that you rot, in accordance with this your name of ‘Anubis.’"
1264, ip ib.w=sn m rn=k pw n(i) inp ip ib.w ,"Assess their hearts, in this your name of ‘Anubis, reckoner of hearts!’"
1265,P. pi zA mr=f it=f m rn=f pw n(i) zA mr=f,"Pepi is a son who loves his father, in his name of ‘loving son.’"
1266,m( y) r=k Hr=sn m rn=k pw n(i) mHy.t,"Come upon them, in this your name of ‘Mehyt!’"
1267,xpr=k m rn=k pw n(i) xprr,"May you come into being, in this your name of ‘Kheprer.’"
1268, rDi.n=s wn=k m nTr n xft(i)=k m rn=k n(i) nTr ,"She has caused that you be a god to your opponent, in your name of ‘god.’"
1269,gm.n=s Tw km.t(i) <wr.t(i)> m rn=k n(i) km-wr,"She having found you complete and <great>, in your name of ‘great black.’"
1270,m Hr ir=f m rn=f n(i) mr,"Do not be far from him, in his name of ‘pyramid!’"
1271, sxpr=sn M.n pn mr ra m rn=f pw n(i) xprr ,Let them make Merenre come to be like Re in this his name of ‘Kheprer.’
1272,anx anx.ti it(=i) m rn=k pw xr(i) nTr.w,"Live! Live, O my father, in your name of ‘one who is with the gods!’"
1273,zA pw wTz=f it=f [m rn=k n(i) Hnw mr w]Tz=f it=f,"For he is a son raising his father, [ in your name of ‘Henu-bark,’ even as] he [raised] his father."
1274, rDi.n Hr wr HkA.w=k m rn=k n(i) wr-HkA.w ,"Horus has caused that your magic be great, even in your name of great of magic."
1275, wTz=f kw m rn=k zkr sxm.t(i) m Sma {t} m Hr pn sxm.w ,"With him raising you in your name of ‘Sokar,’ you being powerful in the south as this Horus, the power."
1276,iSS.n Tw tm m rA=f m rn=k n(i) Sw,Atum has spat you from his mouth even in your name of ‘Shu.’
1277,Ax n=f (si) an xr=k m rn=k n(i) Ax.t pr.t ra im=k,"It is Akh for him again with you, in your name of ‘horizon, you in whom Re ascends.’"
1278,anx anx Nt. pn m rn=k pw xr(i) Ax.w,"Live! Live, O Neith, in this your name of ‘one who is with the Akhs!’"
1279,anx anx anx.t(i) anx.t(i) m rn=k pw xr(i) nTr.w,"Live! Live! Live! Live, in your name of ‘one who is with the gods!’"
1280, nis Tw ra m rn=k pw snD n=f Ax.w nb(.w) ,"Let Re summon you, in this your"
1281, /// kw m rn=k n(i) zkr anx.ti n m/// iAb ,"/// you in your name of ‘Sokar,’ you being alive /// /// east."
1282,m rn=k pw ni kAp,In this your name of ‘he of the censing.’
1283, sn=Tn pw P. [m] rn=Tn n(i) sn.wt ,"Pepi is your brother, in your name of ‘chapels.’"
1284,iw wsr.t W. Hr mk.t=f m rn=f pw n(i) Tz tp,"And the neck of Unas is upon his proper place, in this his name of ‘bound of head.’"
1285,dwA=sn Tw m rn=k pw n(i) dwAw spd.w is Xr(i) ksb.wt=f,"Let them hymn you, in this your name of ‘Duau, as Soped who has his acacia-grove."
1286,rDi.n nw.t wn=k m nTr n xft(i)=k m rn=k n(i) nTr,"Nut has caused that you be a god to your opponent, even in your name of ‘god.’"
1287,m rn=k n(i) nTr,in your name of ‘god.’
1288,d.n Tw nw.t m nTr n stS m rn=k n(i) nTr,"Just as Nut has placed you as a god to Seth, in your name of ‘god.’"
1289, n nTr=sn(i) im=k m rn=k n(i) nTr ,"Because their god is you, in your name of ‘god.’"
1290,rDi.n=s wn=k m nTr n xft(i)=k m rn=k n(i) nTr,"She has caused that you be a god to your opponent, in your name of ‘god.’"
1291,Di.n mw.t=k nw.t wn=k m nTr n xft(i)=k m rn=k n(i) nTr,"For your mother Nut has caused that you be a god to your opponent, in your name of ‘god.’"
1292, rDi.n=s wn=k m nTr n xft(i)=k m rn=k n(i) nTr ,"She has caused that you be a god to your opponent, in your name of ‘god.’"
1293, Ax (si) n Hr xr=k m rn=k n(i) Ax.t prr.t ra im ,"(It) is Akh for Horus with you, in your name of ‘horizon in which Re ascends.’"
1294, Ax.ti m rn=k n(i) Ax.t prr.t ra im=s ,"Be an Akh, in your name of ‘horizon in which Re ascends!’"
1295,Ax n=f (si) an xr=k m rn=k n(i) Ax.t prr.t ra im=k,"(It) is Akh for him again because of you, in your name of ‘horizon, you in whom Re ascends.’"
1296,Ax n=f (si) an xr=k m rn=k n(i) Ax.t pr.t ra im=k,"(It) is Akh for him again with you, in your name of ‘horizon, you in whom Re ascends.’"
1297, hA=k Hr nwH.w biA Hr-rmn.wi Hr m rn=f im(i) Hnw ,"As you descend upon the (tow)-lines of metal beside Horus, in his name of ‘one who is in the Henu-bark.’"
1298,m rn=k im(i) iwnw,In your name of ‘one who is in Heliopolis.’
1299,pSS.n s(i) mw.t=k nw.t Hr=k m rn=s n(i) S.t-p.t,"So has your mother Nut spread herself over you, in her name of ‘Shetpet.’"
1300,mH.n kw <Hr> tm.ti m ir.t=f m rn=s pw n(i) wAH.t nTr,"<Horus> has filled you completely with his eye, in its name of ‘god’s offering.’"
1301,pSS.n s(i) mw.t=k nw.t Hr=k m rn=s n(i) S.t-p.t,"Your mother Nut has spread herself over you, in her name of ‘Shetpet.’"
1302, mA=k im=s m rn=s n(i) wp.t-wA.wt ,That you see by it in its name of ‘Wepetwaut.’
1303,wnwn=T m X.t mw.t=T m rn=T n(i) nw.t,"You moving in the womb of your mother,"
1304,(i)n pnd.n(=i) Tm m gbb m rn=T n(i) p.t,"Indeed I as Geb have made you fruitful, in your name of ‘sky.’"
1305,imi=T rDi Hr P. r=T m rn=T Hr.t,May you not let Pepi be far from you in your name of ‘distant one.’
1306, ip.n=T ms=T m rn=T n(i) rp.t iwnw ,You have assigned your children in your name of ‘image of Heliopolis.’
1307,in spd.t zA.t=k mr.t=k ir.t rnp.wt=k m rn=s {n} pw n(i) rnp.t,"It is Sothis, your daughter beloved of you, who makes your grain, in this her name of year."
1308,kw i.Dd.t(i) n=s(n) rn=s(n) pw Sp SAw,Then let there be said to them this their name of ‘blind one(s) of the Shaa-part-of-tomb.’
1309,pr=k r=sn bA.ti spd.t(i) m ms t(w)t m ms t(w)t m rn=k pw n(i) spd.w,"May you go forth to them, a Ba, effective, with all the children, with all the children in this your name of ‘Soped.’"
1310,qAi=k m rn=k pw n(i) qA,"May you be on high, in this your name of ‘height.’"
1311,pSS.n s(i) mw.t=k nw.t Hr=k m rn=s n(i) S.t-p.t,"Your mother Nut has spread herself over you, in her name of ‘Shetpet.’"
1312,Agbgb ib mw.t=k Hr=k m rn=k n(i) gbb,"The heart of your mother trembles for you, in your name of ‘Geb.’"
1313,Hr spd pr im=k m rn=f n(i) Hr imi spd.t,"Horus Soped is gone forth from you, in his name of ‘Horus who is in Sothis.’"
1314,pD ib=f n ms=f m rn=Tn n(i) pD.t 9.t,"Make him pleased with his child, in your name of ‘Nine Bows.’"
1315,[sn=sn r=k m rn=s]n n(i) sn.wt(i),"[Let them be brotherly to you, in their name] of ‘he of the chapels.’"
1316,pSr.w HA=sn m Ssr m rn=sn pw n(i) Ssr,"Go around them with an arrow, in this their name of ‘arrow!’"
1317,zA Tw rmT.w iptf n(i)t pr bA Hr.t DA.t m rn=sn pw n(i) DA.t(i)wt,"Beware the people, those of the house of Ba, terrible and transgressing, in this their name of ‘transgressors.’"
1318,pD Tw m rn=k pAD,"Diffuse yourself, in your name of ‘pellet!’"
1319,d.n n=k Hr ir.t=f m HA.t=k m rn[=s n(i) wr.t-HkA.w] ,"For you has Horus put his eye on your brow, in [ its] name [of great of magic]."
1320,mA=k im=s m rn=s n(i) wp.t-wA.wt,"Even that you see by it, in its name of Wepetwaut."
1321,mnni=k m rn=k n(i) mnw,"May you be enclosed, in your name of"
1322, iT n=k s(i) m rn=k pw n(i) iAqs nTr ,"Take it, in this your name of ‘cloth of the god!’"
1323,i.Aq Hr=s m rn=s pw n(i) mAq.t,Climb up it in this its name of ‘ladder!’
1324,i.Aq=k Hr=s m rn=s pw n(i) mAq.t,May you climb up her in this her name of ‘ladder.’
1325,i.Aq=f Hr=s m rn=s n(i) Aq.t r p.t,"That he may climb it, in its name of ‘what is climbed to the sky.’"
1326,ia.ti n M.n m rn=k n(i) ra,"Rise up to Merenre, in your name of ‘Re!’"
1327, P. pw m mtw.t=k wsir spd.t(i) m rn=T pw n(i) Hr imi wAD-wr Hr xnt(i) Ax.w,"Pepi is your seed, O Osiris, it being effective, in this your name of ‘Horus who is in the great green, Horus foremost of Akhs.’"
1328,i ii b( A)b( y) nT sSAw,"O (eye)-injurer, O Babay, O one whom Shesau bound."
1329,sDm.n=f mdw sr is,Him having judged as a noble.
1330,sr pw sr nb,He is the noble of every noble.
1331,wd=k A=k n=k M.n m sr n(i) Ax.w ipw i.xm.w-sk mH.tiw p.t,"Ah, may you place Merenre as a noble of these Akhs, the imperishable stars of the north of the sky!"
1332,n P. is wab zA wab,"For Pepi is a pure one, the son of a pure one."
1333,M.n pw wab,Merenre is a pure one.
1334,wbn=Tn(i) m Ax.t m bw Ax n=Tn(i) (si) im,"Shining in the horizon, in the place where it is Akh for you."
1335, Ax (si) n Hr xr=k m rn=k n(i) Ax.t prr.t ra im ,"(It) is Akh for Horus with you, in your name of ‘horizon in which Re ascends.’"
1336, Ax.ti m rn=k n(i) Ax.t prr.t ra im=s ,"Be an Akh, in your name of ‘horizon in which Re ascends!’"
1337,Ax n=f (si) an xr=k m rn=k n(i) Ax.t prr.t ra im=k,"(It) is Akh for him again because of you, in your name of ‘horizon, you in whom Re ascends.’"
1338,Ax.ti m Ax.t,Be an Akh in the horizon!
1339,Ax.ti m Ax.t,Be an Akh in the horizon!
1340,Ax n=f (si) an xr=k m rn=k n(i) Ax.t pr.t ra im=k,"(It) is Akh for him again with you, in your name of ‘horizon, you in whom Re ascends.’"
1341,Ax.n=f m Ax.t,For he has become an Akh in the horizon.
1342, wsir bA im(i) Ax.w sxm im(i) s.wt=f nD.w psD.t m Hw(.t)-sr ,"O Osiris (Unas), a Ba who is among the Akhs, a power who is in his offices, one whom the Ennead saves in the house of the noble!"
1343,wnwn=k im=f m-m Ax.w,And may you move in him among the Akhs.
1344,xnz=k m-ab Ax.w,That you travel in the company of the Akhs.
1345,i n=k sxm=k imi Ax.w,Your power which is among the Akhs comes to you.
1346,wab sxm=k imi Ax.w,May your power which is among the Akhs be pure.
1347,anx n=k anx.t m-ab=sn Ax.w i.xm.w-sk,"But live among them, the Akhs, the"
1348,n wAH.n={i}<s> sw ir tA m-m nTr.w Ax.iw,She not setting him down upon the earth—among the gods and those who are Akhs.
1349, mdw=k xnti Ax.w inp is xnti-imn.tiw anD.ti is xnti spA.w(t) iAb.t(i)t ,"With your staff before the Akhs, as Anubis foremost of the westerners, as Andjeti, foremost of the nomes of the east."
1350,mdw=k xnti Ax.w inp is xnti-imn.tiw anD.ti is xnti spA.wt iAb.t( iw)t,"May you speak before the Akhs as Anubis foremost of the westerners, as Andjeti foremost of the eastern districts."
1351, hA n<=k> T. m zAb Sma inp is Hr(i)-X.t=f wpi.w is xnti iwnw ,"Descend, O Teti, as the jackal of Upper Egypt, as Anubis, the one upon his belly, as Wepiu, foremost of Heliopolis!"
1352,aHa=k m inp Hr(i) mniw,And arise as Anubis master of the herdsman’s tent!
1353, hA Ne. pw sStA ir.w=f inp is ,"O Neferkare, mysterious of form as Anubis."
1354, xw=sn(i) rpw=k ir rn=k pw n(i) inpw ,"Let them prevent that you rot, in accordance with this your name of ‘Anubis.’"
1355,inp Hr(i)-X.t=f wsir m sw.t=f inp xnti Amm,"Anubis who is upon his belly, Osiris in his injury, Anubis foremost of grasp."
1356, ip=sn Tw m rn=k pw n(i) inp ,"Let them assign you, in this your name of ‘Anubis.’"
1357,aHa=k Hms=k m inp xnti tA-Dsr,"May you stand and sit as Anubis, foremost of the sacred land."
1358, sAx[=f Tw]1212 DHw.ti is inp is sr DADA.t ,"That [he] make [you] an Akh, as Thoth, as Anubis, noble of the court."
1359,/// /// /// /// inp xnt(i)-imn.tiw wsir is zA gbb,"///////// Anubis foremost of the westerners, as Osiris, the son of Geb."
1360, Hr=k m zAb inp is ST /// ,"With your face as a jackal, as Anubis belted ///."
1361, aHa=k r=k xnti nTr.w inp is Hr(i)-tp mniw ,Arise before the gods as Anubis chief of the herdsman’s tent!
1362, aHa[=k m inp Hr(i)] mniw ,"And arise [as Anubis, master of the] herdsman’s tent!"
1363,i.rs i.rs it(=i) wsir m inp tpi mniw=f,"Awaken, awaken, O my father Osiris, as Anubis who is atop his tent!"
1364, aHa=f xnti Ax.w inp is xnti-imn.tiw ,"That he stand before the Akhs, as Anubis foremost of the westerners."
1365, wDa=f mdw sbk <is> imi Sd.t inp is imi tAb.t ,"And he passes judgment as Sobek who is in Shedet, as Anubis who is in Tabet."
1366,Ne. pw inpw Hr(i)-tp pr,Neferkare is Anubis who is over the house.
1367, iw xa.w W. m nhpw ,And the appearance of Unas is in the morning.
1368,i.n W. r s.t=f tp(i)t nb.ti xa W. m sbA,"Unas has come to his place which is over the two ladies, even with Unas appearing as a star."
1369,xa W. m nfr-tm m zSSn r Sr.t ra,"Let Unas appear as Nefertem, as the lotus at the nostrils of Re."
1370, nxt W. r=sn xa Hr wDb=f ,"Unas is stronger than them, is appeared upon his bank."
1371, mAn=sn W. xa bA m nTr anx m it.w=f wSb m mw.wt=f ,"Let them see Unas, appeared and a Ba as a god who lives on his fathers, who is nourished of his mothers."
1372, iw W. m nn xa xa i.mn i.mn ,"Unas is this one who has appeared, being appeared, who remains, remaining."
1373,iw wD.n wsir xa(.w) W. m sn-nw Hr,(Thus) did Osiris command the appearance of Unas as the companion of Horus.
1374,xa W. m sbk zA n.t,"Let Unas appear as Sobek, son of Neith."
1375,W. pi xmt-nw m xa=f,Unas is the third in his appearing.
1376,xa P. pn n nTr.w,Pepi appearing for the gods.
1377,Di=f n Ne. xay mAw,Even that he give Neferkare a new appearing.
1378,Hw zA(=i) Ax.i xai bA wAS.i sxm.i Awi a=f wsx nmt(.t)=f,"O, that my son be an Akh, appeared, a Ba, mighty, capable, extended of hand, broad of stride!"
1379, xa P. pn m iar ///D imi /// ,"Let Pepi appear as one who rises up, ///"
1380,xa Nt. pn Hr wA.[t]=s,Even as Neith appeared upon her way.
1381,xa wsir,Osiris is appeared.
1382, xa.n=f Hr mr Hr xndw=f ,"He has appeared upon the waterway, upon his throne."
1383, xa.ti m wpi.w bA xnti anx.w ,"Appear as Wepiu, the Ba foremost of the living!"
1384,[xa.ti] m wpi.w bA [ is] xnti anx.w sxm <is> xnti Ax.w sbA is wa.ti,"[Appear] as Wepiu, [as] the Ba who is foremost of the living, as the power foremost of Akhs, as the sole star!"
1385,xa.ti m wpi.w bA is xnti anx.w sxm is xnti Ax.w,"Appear as Wepiu, as the Ba foremost of the living, as the power foremost of Akhs!"
1386, xa.ti xnti=sn gbb is xnti X.t psD.t iwnw ,Being appeared before them as Geb foremost of the body of the Ennead of Heliopolis.
1387, xa.ti r=sn m zAb Hr is xnt(i) anx.w gbb is xnt(i) psD.t wsir is xnt(i) Ax.w ,"You being appeared to them as a jackal, as Horus, foremost of the living, as Geb, foremost of the Ennead, as Osiris, foremost of Akhs."
